experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
tiger,0.9,2,5,250,0,0,-1.0,0.0,-1.0,0.0,7,12.020759734096123,8.48969823574312
tiger,0.9,2,5,250,0,1,2.420000000000001,5.6607066696659,2.9,5.204805471869242,10,13.039690576205334,9.230313380270987
tiger,0.9,2,5,250,0,2,-2.74,7.496159016456361,-2.8600000000000003,7.491355017618642,7,12.134906810399718,8.511215935392022
tiger,0.9,2,5,250,0,3,-1.0,0.0,-1.8999999999999995,7.475961476626268,7,12.16259411181906,8.63040710471493
tiger,0.9,2,5,250,0,4,3.08,5.011347124277064,-1.0,0.0,7,12.671427592740049,8.509306335816348
tiger,0.9,2,5,250,0,5,-2.1999999999999997,7.493997598078078,3.1399999999999997,4.943723293227484,8,12.171252267004395,8.890463826147268
tiger,0.9,2,5,250,0,6,-1.0,0.0,-1.0,0.0,7,12.377604375964687,8.495217543873636
tiger,0.9,2,5,250,0,7,-1.0,0.0,3.0199999999999996,5.077361519529608,7,13.193150916225349,8.870310920314445
tiger,0.9,2,5,250,0,8,-2.26,7.496159016456361,-1.0,0.0,7,12.02312524416547,8.490779807124694
tiger,0.9,2,5,250,0,9,-1.3000000000000003,7.40337760755184,2.84,5.266345981798006,8,12.529870797482317,8.923846659535055
tiger,0.9,2,5,250,0,10,-1.0,0.0,-1.0,0.0,7,13.209513660293815,8.595846384500518
tiger,0.9,2,5,250,0,11,2.1800000000000006,5.860682554105792,3.0199999999999996,5.077361519529608,8,13.059302785851091,8.708749888851369
tiger,0.9,2,5,250,0,12,-1.8400000000000003,7.470903559811223,-1.9000000000000004,7.475961476626268,8,13.259540183433653,9.342991935399219
tiger,0.9,2,5,250,0,13,-1.0,0.0,-1.7200000000000002,7.459329728601626,7,12.778582910792045,8.560063051889934
tiger,0.9,2,5,250,0,14,-1.0,0.0,-1.0,0.0,7,12.021844186198372,8.487107689416888
tiger,0.9,2,5,250,0,15,4.64,2.295735176365079,-1.0,0.0,7,14.776043655539791,8.717625421656695
tiger,0.9,2,5,250,0,16,-1.0,0.0,-1.0,0.0,7,12.183417875250369,8.550677585338029
tiger,0.9,2,5,250,0,17,-1.0,0.0,-1.0,0.0,8,12.518736163552939,8.748874185983986
tiger,0.9,2,5,250,0,18,4.34,3.0764264983906244,5.0,0.0,7,12.047561353393267,8.85205162962298
tiger,0.9,2,5,250,0,19,-1.0,0.0,-1.0,0.0,7,12.927755686108798,8.505267952183438
tiger,0.9,2,5,250,0,20,-1.0,0.0,-1.0,0.0,8,12.15110778019045,8.810925661147444
tiger,0.9,2,5,250,0,21,4.46,2.7943514453268046,4.52,2.64,8,15.853757335246586,9.341292905111377
tiger,0.9,2,5,250,0,22,-2.56,7.499759996159876,-2.68,7.497839688870388,7,12.602888653848147,8.502052346240006
tiger,0.9,2,5,250,0,23,-1.0,0.0,-2.74,7.496159016456361,8,12.057194583935301,8.833091890728634
tiger,0.9,2,5,250,0,24,2.72,5.385313361356051,-1.0,0.0,7,15.170934714153233,8.525524783106302
tiger,0.9,2,5,250,0,25,-1.9600000000000004,7.480534740244176,3.5600000000000005,4.418868633485272,7,12.179192064977519,8.842300125870324
tiger,0.9,2,5,250,0,26,-1.0,0.0,-1.0,0.0,7,12.190349788409282,8.491118811663569
tiger,0.9,2,5,250,0,27,2.96,5.141828468550853,3.5600000000000005,4.418868633485272,8,12.18059950990084,8.907101238377503
tiger,0.9,2,5,250,0,28,-1.1800000000000002,7.382926249123717,-1.0,0.0,7,12.208926600479012,8.495412052092432
tiger,0.9,2,5,250,0,29,-1.0,0.0,3.62,4.33538925588003,8,12.06993279298224,8.840661674151395
tiger,0.9,2,5,250,0,30,3.0199999999999996,5.077361519529608,-1.0,0.0,7,15.100842305451053,8.51225105920657
tiger,0.9,2,5,250,0,31,-1.0,0.0,-1.0,0.0,7,13.156803729317037,8.505368190722145
tiger,0.9,2,5,250,0,32,2.6,5.499090833947008,3.8000000000000007,4.069397989875161,8,15.47542167828853,9.582162953210425
tiger,0.9,2,5,250,0,33,-1.0,0.0,-1.4800000000000004,7.430316278598105,8,12.902707330316122,8.910645958640156
tiger,0.9,2,5,250,0,34,2.48,5.607994293863003,-1.0,0.0,7,14.90048508923114,8.500633383549019
tiger,0.9,2,5,250,0,35,-1.0,0.0,2.72,5.385313361356051,7,12.137794240958295,8.768858255577777
tiger,0.9,2,5,250,0,36,2.0600000000000005,5.954527689078287,-1.8999999999999995,7.475961476626268,7,16.732881019618045,8.664574000185189
tiger,0.9,2,5,250,0,37,-1.0,0.0,-1.3000000000000003,7.40337760755184,8,12.543514449230521,8.56135519255934
tiger,0.9,2,5,250,0,38,2.4199999999999995,5.660706669665899,-2.68,7.497839688870388,7,15.307016014772106,8.648837178200834
tiger,0.9,2,5,250,0,39,-2.38,7.4990399385521345,-1.0,0.0,7,12.889525976315781,8.589965281480044
tiger,0.9,2,5,250,0,40,-1.0,0.0,-8.200000000000001,4.874423042781576,7,13.116425317025648,8.519374381995467
tiger,0.9,2,5,250,0,41,1.8200000000000003,6.130872694812704,-1.0,0.0,7,13.22294423927382,8.630227085290219
tiger,0.9,2,5,250,0,42,-1.0,0.0,2.42,5.660706669665899,9,13.124220709182737,9.566778427347126
tiger,0.9,2,5,250,0,43,3.1399999999999997,4.943723293227484,-1.0,0.0,7,12.725852573578054,8.523246764226274
tiger,0.9,2,5,250,0,44,-1.0,0.0,2.3600000000000003,5.712302512997714,8,12.145184882445285,9.260104109706623
tiger,0.9,2,5,250,0,45,-1.0,0.0,-2.98,7.484624239065044,7,12.14424489471806,8.622033151336113
tiger,0.9,2,5,250,0,46,-2.74,7.496159016456361,-1.0,0.0,7,15.457103271083113,8.489079251660261
tiger,0.9,2,5,250,0,47,-2.2000000000000006,7.493997598078078,-7.840000000000001,5.266345981798005,7,12.06039635581784,8.502280606775937
tiger,0.9,2,5,250,0,48,-3.3400000000000003,7.452811550012519,-0.8199999999999998,7.309418581528903,7,13.278373010352276,8.770420601567878
tiger,0.9,2,5,250,0,49,-2.0800000000000005,7.488230765674893,-1.0,0.0,7,12.037859794782378,8.5488541684423
tiger,0.9,2,5,250,1,0,-1.0,0.0,-1.0,0.0,7,12.721129570177656,8.485340774049487
tiger,0.9,2,5,250,1,1,-2.44,7.499759996159876,-1.0,0.0,7,12.921074026471228,8.997238583196761
tiger,0.9,2,5,250,1,2,-2.1399999999999997,7.491355017618642,4.64,2.295735176365079,9,13.119299899191047,9.217693318169298
tiger,0.9,2,5,250,1,3,-2.74,7.496159016456361,-1.6600000000000001,7.452811550012519,7,12.881297203452949,8.572400739273192
tiger,0.9,2,5,250,1,4,-1.0,0.0,-1.0,0.0,7,12.086724343185516,8.51430195254523
tiger,0.9,2,5,250,1,5,-1.0,0.0,2.8400000000000003,5.266345981798005,8,12.8900239765657,9.619744763398963
tiger,0.9,2,5,250,1,6,4.819999999999999,1.6332789106579442,-1.0,0.0,7,15.535276826461006,8.530422690958398
tiger,0.9,2,5,250,1,7,-1.0,0.0,2.6600000000000006,5.442830146164769,7,12.707460584216626,8.782180804845012
tiger,0.9,2,5,250,1,8,3.5,4.5,-2.68,7.497839688870388,7,12.117174466538742,8.597647825220745
tiger,0.9,2,5,250,1,9,-2.1399999999999997,7.491355017618642,-1.0,0.0,7,12.533256557538568,8.522223141843552
tiger,0.9,2,5,250,1,10,-1.7200000000000002,7.459329728601626,2.3600000000000003,5.712302512997714,8,12.213586517329011,9.193524573094665
tiger,0.9,2,5,250,1,11,-2.8,7.493997598078078,-1.0,0.0,7,12.113051555020736,8.536070435015441
tiger,0.9,2,5,250,1,12,-1.0,0.0,2.6,5.499090833947008,7,12.455115909700023,8.678969971012203
tiger,0.9,2,5,250,1,13,2.5399999999999996,5.5541335958005185,-1.0,0.0,7,14.98236580422123,8.668268547800825
tiger,0.9,2,5,250,1,14,-1.0,0.0,2.3000000000000007,5.762811813689564,9,12.237948063428588,9.2857210789806
tiger,0.9,2,5,250,1,15,3.2,4.874423042781576,-1.0,0.0,7,14.808446715638299,8.663915280006911
tiger,0.9,2,5,250,1,16,-3.04,7.480534740244176,-1.0,0.0,7,12.10495134904081,8.74654639085108
tiger,0.9,2,5,250,1,17,-3.2800000000000002,7.4593297286016265,-1.0,0.0,7,13.263142357169198,8.880356288306487
tiger,0.9,2,5,250,1,18,-1.9000000000000004,7.475961476626268,4.88,1.3362634470792052,8,12.118970629257412,9.173078978199927
tiger,0.9,2,5,250,1,19,-3.22,7.4653600047151105,-2.32,7.497839688870388,7,12.363113124181051,8.501387697837298
tiger,0.9,2,5,250,1,20,-2.1399999999999997,7.491355017618642,-1.0,0.0,8,16.526960739035893,8.813463049282706
tiger,0.9,2,5,250,1,21,-2.9200000000000004,7.488230765674893,3.68,4.2494234903101855,8,12.105087492532906,9.213835440212659
tiger,0.9,2,5,250,1,22,-1.0,0.0,-1.0,0.0,7,12.071213850949336,8.61905192033652
tiger,0.9,2,5,250,1,23,-1.0,0.0,3.74,4.160817227420594,8,12.119677798324535,9.417891336668422
tiger,0.9,2,5,250,1,24,4.819999999999999,1.6332789106579442,-2.86,7.491355017618642,7,16.346034257607435,8.496904107931488
tiger,0.9,2,5,250,1,25,-1.0,0.0,-1.0,0.0,7,13.43855297431946,8.51204736594413
tiger,0.9,2,5,250,1,26,2.5400000000000005,5.554133595800519,2.24,5.81226289838992,8,15.491739965036905,8.834791835155094
tiger,0.9,2,5,250,1,27,-1.0,0.0,-1.0,0.0,8,12.138193992701748,8.680787856333662
tiger,0.9,2,5,250,1,28,2.72,5.385313361356051,2.5400000000000005,5.554133595800519,7,15.60529352181215,9.40783861801388
tiger,0.9,2,5,250,1,29,-1.0,0.0,-2.62,7.4990399385521345,7,12.030057157324382,8.599552073947619
tiger,0.9,2,5,250,1,30,2.8400000000000003,5.266345981798005,-2.68,7.497839688870388,7,12.209069438633179,8.529312754768979
tiger,0.9,2,5,250,1,31,-1.0,0.0,-1.0,0.0,8,12.09801323223246,8.822413571429703
tiger,0.9,2,5,250,1,32,2.8999999999999995,5.204805471869242,-1.0,0.0,7,15.293934628444994,8.653763728418138
tiger,0.9,2,5,250,1,33,-2.0799999999999996,7.488230765674893,-1.7800000000000002,7.4653600047151105,9,12.1416581331117,9.45583764763494
tiger,0.9,2,5,250,1,34,-1.0,0.0,-1.0,0.0,7,13.119252326308406,8.501759767558017
tiger,0.9,2,5,250,1,35,2.42,5.660706669665899,2.72,5.385313361356051,9,16.12928671388436,9.410888322899389
tiger,0.9,2,5,250,1,36,-1.6,7.445804187594514,-2.8000000000000003,7.493997598078078,7,12.148391414521003,8.738078785778995
tiger,0.9,2,5,250,1,37,-1.0,0.0,-3.4000000000000004,7.445804187594514,7,12.331818855581133,8.617260644104
tiger,0.9,2,5,250,1,38,1.7000000000000002,6.2136945531623935,-1.0,0.0,7,17.494554338613685,8.499379790519615
tiger,0.9,2,5,250,1,39,-2.68,7.497839688870388,2.72,5.385313361356051,8,12.28178324000897,8.801882629902922
tiger,0.9,2,5,250,1,40,-1.0,0.0,-1.0,0.0,7,12.234862886813943,8.4916009592934
tiger,0.9,2,5,250,1,41,2.78,5.326499788791885,2.72,5.385313361356051,7,12.550333715536247,8.875223840454893
tiger,0.9,2,5,250,1,42,-1.0,0.0,-1.0,0.0,7,12.626777869082765,8.492416303181775
tiger,0.9,2,5,250,1,43,2.12,5.908096140043763,-1.0,0.0,8,15.93552707598213,8.994167137184206
tiger,0.9,2,5,250,1,44,-1.0,0.0,-1.3600000000000003,7.41285370151064,7,12.037603779933487,8.711139050933415
tiger,0.9,2,5,250,1,45,3.1399999999999997,4.943723293227484,-3.3999999999999995,7.445804187594513,7,12.598889877201211,8.514204326469734
tiger,0.9,2,5,250,1,46,-2.5,7.5,-3.0400000000000005,7.480534740244176,7,12.042192026019412,8.539843692669827
tiger,0.9,2,5,250,1,47,-1.0,0.0,-2.5,7.5,7,12.104838583894725,8.488057927349521
tiger,0.9,2,5,250,1,48,3.2,4.874423042781576,-3.2800000000000002,7.4593297286016265,7,16.201403158815626,8.512025727386732
tiger,0.9,2,5,250,1,49,-2.5,7.5,-1.6,7.445804187594514,7,12.630878043068229,8.493511637560403
tiger,0.9,2,5,250,2,0,-3.4000000000000004,7.445804187594514,-1.0,0.0,7,12.064620878188743,8.535110230212243
tiger,0.9,2,5,250,2,1,-2.5,7.5,4.46,2.7943514453268046,7,12.219481551268313,9.763578753296617
tiger,0.9,2,5,250,2,2,-1.0,0.0,-1.0,0.0,7,12.02179661331573,8.518625550165348
tiger,0.9,2,5,250,2,3,3.5600000000000005,4.418868633485272,-1.0,0.0,8,12.66191776191012,8.73588631823298
tiger,0.9,2,5,250,2,4,-1.0,0.0,4.52,2.64,9,12.277979522574052,9.573408585805682
tiger,0.9,2,5,250,2,5,2.72,5.385313361356051,-1.8400000000000003,7.470903559811223,7,15.53496960259785,8.683606050174784
tiger,0.9,2,5,250,2,6,-1.0,0.0,-3.1,7.475961476626268,7,12.236225307368695,8.51889865368394
