experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
tiger,0.9,2,5,250,0,0,-2.32,7.497839688870388,-1.0,0.0,7,12.04650844321826,8.492150697672816
tiger,0.9,2,5,250,0,1,-2.44,7.499759996159876,2.72,5.385313361356051,7,12.125909600537485,8.530949427849258
tiger,0.9,2,5,250,0,2,-1.0,0.0,-3.3399999999999994,7.452811550012519,7,12.257040032641914,8.50210243591168
tiger,0.9,2,5,250,0,3,2.96,5.141828468550853,-1.0,0.0,7,15.164761545983822,8.506042215671393
tiger,0.9,2,5,250,0,4,-1.9000000000000004,7.475961476626268,-1.0,0.0,8,12.135274428613968,9.01373022249495
tiger,0.9,2,5,250,0,5,-1.0,0.0,4.7,2.0999999999999996,8,12.171766068991136,9.377335209184324
tiger,0.9,2,5,250,0,6,3.6800000000000006,4.2494234903101855,-1.0,0.0,7,16.328440972240852,8.53354514035513
tiger,0.9,2,5,250,0,7,-2.38,7.4990399385521345,1.8200000000000003,6.130872694812704,7,12.763924122178334,8.906075112060172
tiger,0.9,2,5,250,0,8,-3.04,7.480534740244176,-2.8000000000000003,7.493997598078078,8,14.897409171310201,8.77581410121468
tiger,0.9,2,5,250,0,9,-1.3599999999999999,7.41285370151064,-1.0,0.0,7,12.022832773958969,8.51865515104139
tiger,0.9,2,5,250,0,10,-2.1399999999999997,7.491355017618642,2.6599999999999997,5.442830146164769,9,15.156812482971093,9.153760467632571
tiger,0.9,2,5,250,0,11,-2.9200000000000004,7.488230765674893,-1.0,0.0,7,12.787896364975701,8.758206941436802
tiger,0.9,2,5,250,0,12,-3.5199999999999996,7.430316278598105,2.6,5.499090833947008,7,13.155779473252508,8.850750900299474
tiger,0.9,2,5,250,0,13,-1.0,0.0,-2.74,7.496159016456361,7,12.248556820550185,8.488399830086294
tiger,0.9,2,5,250,0,14,3.08,5.011347124277064,-1.0,0.0,7,16.311989686346973,8.489285807279245
tiger,0.9,2,5,250,0,15,-1.0,0.0,3.44,4.578908166801339,8,12.131854666593703,9.195223603382507
tiger,0.9,2,5,250,0,16,2.9,5.204805471869242,-2.38,7.4990399385521345,8,12.879273215588068,9.377335209184324
tiger,0.9,2,5,250,0,17,-2.62,7.4990399385521345,-1.0,0.0,7,12.030313172173273,8.511210383498357
tiger,0.9,2,5,250,0,18,-1.0,0.0,2.78,5.326499788791885,9,12.019756856038033,9.233640697562294
tiger,0.9,2,5,250,0,19,2.5399999999999996,5.5541335958005185,-2.1999999999999997,7.493997598078078,7,12.63523264629454,8.718168730495982
tiger,0.9,2,5,250,0,20,-1.0,0.0,-1.3600000000000003,7.41285370151064,7,12.178492846887323,8.489965228853212
tiger,0.9,2,5,250,0,21,-1.0,0.0,-1.0,0.0,7,13.105632061011601,8.495151982460756
tiger,0.9,2,5,250,0,22,-2.5,7.5,1.1,6.579513659838392,8,13.069059162645527,8.816312273822586
tiger,0.9,2,5,250,0,23,-2.8000000000000003,7.493997598078078,-1.0,0.0,8,12.843723422373326,8.59169649939725
tiger,0.9,2,5,250,0,24,-3.3400000000000003,7.452811550012519,0.6799999999999993,6.792466415080755,8,13.02103329469316,9.67634923105577
tiger,0.9,2,5,250,0,25,-1.9600000000000004,7.480534740244176,-1.0,0.0,7,15.956091159016554,8.52900206732322
tiger,0.9,2,5,250,0,26,-2.9200000000000004,7.488230765674893,3.6800000000000006,4.2494234903101855,8,12.812022623664241,8.65708320855375
tiger,0.9,2,5,250,0,27,-2.8000000000000003,7.493997598078078,-2.38,7.4990399385521345,7,12.468635429848907,8.564352628504007
tiger,0.9,2,5,250,0,28,-1.0,0.0,-1.7800000000000002,7.4653600047151105,7,12.084167584923428,8.60136654546342
tiger,0.9,2,5,250,0,29,-1.0,0.0,-1.0,0.0,7,12.055255336977348,8.492636083107948
tiger,0.9,2,5,250,0,30,-1.6600000000000001,7.452811550012519,3.0199999999999996,5.077361519529608,9,12.469714063962787,9.444840587582519
tiger,0.9,2,5,250,0,31,-1.0,0.0,-1.7800000000000002,7.4653600047151105,8,12.075954613797418,8.909888960362718
tiger,0.9,2,5,250,0,32,2.8400000000000003,5.266345981798005,-3.4000000000000004,7.445804187594514,7,13.397510792651511,8.55588420315219
tiger,0.9,2,5,250,0,33,-2.56,7.499759996159876,-2.44,7.499759996159876,7,12.151467946437386,8.593952195359819
tiger,0.9,2,5,250,0,34,-1.2999999999999998,7.40337760755184,-1.0,0.0,7,12.054223187648429,8.534712267572472
tiger,0.9,2,5,250,0,35,-1.0,0.0,-1.0,0.0,7,12.956164486522486,8.59439251118037
tiger,0.9,2,5,250,0,36,2.84,5.266345981798006,4.76,1.8821264569629745,8,15.619976142628392,9.445655931470892
tiger,0.9,2,5,250,0,37,-1.0,0.0,-1.0,0.0,7,12.16894695297277,8.576716468898148
tiger,0.9,2,5,250,0,38,1.2799999999999998,6.477777396607574,-1.0,0.0,7,12.595763136970223,8.63735767785678
tiger,0.9,2,5,250,0,39,-1.0,0.0,-3.6400000000000006,7.41285370151064,7,12.093857370879709,8.490506703606101
tiger,0.9,2,5,250,0,40,2.72,5.385313361356051,-2.86,7.491355017618642,7,16.31507271047862,8.50210243591168
tiger,0.9,2,5,250,0,41,-2.1400000000000006,7.491355017618642,-1.6600000000000001,7.452811550012519,7,12.393231070395066,8.603552014283025
tiger,0.9,2,5,250,0,42,-1.0,0.0,-1.0,0.0,7,13.078135612769712,8.54579341898156
tiger,0.9,2,5,250,0,43,-7.24,5.81226289838992,2.8999999999999995,5.204805471869242,9,12.185467174433104,9.391113863287814
tiger,0.9,2,5,250,0,44,-2.44,7.499759996159876,-3.1,7.475961476626268,7,12.149637962772026,8.491328466812782
tiger,0.9,2,5,250,0,45,-2.0199999999999996,7.484624239065044,-1.0,0.0,7,12.021037914005129,8.52433368645665
tiger,0.9,2,5,250,0,46,-1.0,0.0,3.3200000000000003,4.730496802662485,9,12.07175460560223,9.220404156587561
tiger,0.9,2,5,250,0,47,2.0600000000000005,5.954527689078287,-3.7600000000000007,7.393402464359695,7,12.108395240547793,8.533749290324657
tiger,0.9,2,5,250,0,48,-2.8000000000000003,7.493997598078078,-2.9800000000000004,7.484624239065044,7,12.172068535743811,8.52163067987573
tiger,0.9,2,5,250,0,49,-1.0,0.0,-1.0,0.0,7,12.042424300188191,8.608536785794861
tiger,0.9,2,5,250,1,0,5.0,0.0,5.0,0.0,8,16.01134611579363,9.075970755637199
tiger,0.9,2,5,250,1,1,-1.0,0.0,-1.7200000000000002,7.459329728601626,7,12.964706345414214,8.594052895603522
tiger,0.9,2,5,250,1,2,2.12,5.908096140043762,-2.8600000000000003,7.491355017618642,7,15.325152190422699,8.486019853047893
tiger,0.9,2,5,250,1,3,-1.0,0.0,-2.8600000000000003,7.491355017618642,7,12.806237966747076,8.510240928257629
tiger,0.9,2,5,250,1,4,2.5400000000000005,5.554133595800519,-2.44,7.499759996159876,7,16.146030469984737,8.565493279008251
tiger,0.9,2,5,250,1,5,-3.1,7.475961476626268,-3.4600000000000004,7.438306258819948,9,12.127692751696378,8.613839773923576
tiger,0.9,2,5,250,1,6,-1.0,0.0,-1.0,0.0,7,12.179276931648118,8.634970381718198
tiger,0.9,2,5,250,1,7,-1.0,0.0,2.6,5.499090833947008,9,12.76520518014543,9.658223623794774
tiger,0.9,2,5,250,1,8,4.46,2.7943514453268046,-1.0,0.0,7,12.69754170481055,8.508577481345359
tiger,0.9,2,5,250,1,9,-2.32,7.497839688870388,1.58,6.293139121297097,8,12.041538863036664,8.834795498969886
tiger,0.9,2,5,250,1,10,-1.7800000000000002,7.4653600047151105,-1.0,0.0,7,12.106684209987026,8.50424153014432
tiger,0.9,2,5,250,1,11,-2.9800000000000004,7.484624239065044,2.6,5.499090833947008,8,12.022820869380261,8.830673960957919
tiger,0.9,2,5,250,1,12,-1.0,0.0,-1.0,0.0,8,13.057500032632863,8.687252589870498
tiger,0.9,2,5,250,1,13,2.72,5.385313361356051,2.96,5.141828468550853,8,12.131854666593703,9.147097904283488
tiger,0.9,2,5,250,1,14,-3.16,7.470903559811223,-1.0,0.0,7,16.32203075433307,8.50865199716837
tiger,0.9,2,5,250,1,15,-1.0,0.0,-1.0,0.0,7,12.062331637140373,8.488330419830142
tiger,0.9,2,5,250,1,16,-1.0,0.0,-1.0,0.0,8,13.005653111155581,8.757906031470641
tiger,0.9,2,5,250,1,17,4.52,2.64,-6.76,6.172714151813609,7,15.95095410581148,8.523922172131392
tiger,0.9,2,5,250,1,18,-2.44,7.499759996159876,-1.0,0.0,7,12.075865766893104,8.542539137918434
tiger,0.9,2,5,250,1,19,-1.0,0.0,3.3200000000000003,4.730496802662485,7,12.140400735581487,9.016463578107249
tiger,0.9,2,5,250,1,20,3.08,5.011347124277064,-1.0,0.0,7,15.050666368506848,8.506262835086325
tiger,0.9,2,5,250,1,21,-1.0,0.0,2.4800000000000004,5.607994293863003,7,12.06973355068161,8.795062592448899
tiger,0.9,2,5,250,1,22,2.9,5.204805471869242,-2.1999999999999997,7.493997598078078,7,12.739834050639697,8.592459098623735
tiger,0.9,2,5,250,1,23,-1.0,0.0,-3.4000000000000004,7.445804187594514,7,12.073577709818183,8.519073954022218
tiger,0.9,2,5,250,1,24,3.0199999999999996,5.077361519529608,-3.2800000000000002,7.4593297286016265,7,12.096684380162467,8.5002379472424
tiger,0.9,2,5,250,1,25,-2.74,7.496159016456361,-2.0200000000000005,7.484624239065044,8,12.104861105771072,8.800045961703809
tiger,0.9,2,5,250,1,26,-1.0,0.0,-1.0,0.0,7,12.880674081678745,8.698998481753037
tiger,0.9,2,5,250,1,27,2.54,5.554133595800518,-1.0,0.0,7,15.338439665367815,8.559994252671753
tiger,0.9,2,5,250,1,28,-1.0,0.0,4.220000000000001,3.3304053807307,9,12.144547255384428,9.08445191633681
tiger,0.9,2,5,250,1,29,2.0,6.0,-1.0,0.0,7,16.134471339972073,8.509561766280319
tiger,0.9,2,5,250,1,30,-1.0,0.0,-1.0,0.0,8,12.077173804351728,8.798201923541015
tiger,0.9,2,5,250,1,31,2.8400000000000003,5.266345981798005,4.7,2.0999999999999996,8,12.910113891552735,8.995053114377157
tiger,0.9,2,5,250,1,32,-3.16,7.470903559811223,-1.0,0.0,7,12.11995437056046,8.549153017423924
tiger,0.9,2,5,250,1,33,-1.0,0.0,-1.0,0.0,7,12.111260660702316,8.490852738501253
tiger,0.9,2,5,250,1,34,2.8999999999999995,5.204805471869242,4.220000000000001,3.3304053807307,8,16.30967964242466,9.18935456309397
tiger,0.9,2,5,250,1,35,-1.0,0.0,-1.0,0.0,7,12.225431511120835,8.496592334534949
tiger,0.9,2,5,250,1,36,-1.0,0.0,3.08,5.011347124277064,8,12.79411742809151,9.631846653957016
tiger,0.9,2,5,250,1,37,4.52,2.64,-1.0,0.0,7,12.613035849063463,8.548849198943454
tiger,0.9,2,5,250,1,38,-1.1799999999999997,7.3829262491237175,1.3400000000000003,6.442390860542381,7,12.034456272064944,8.79970634612696
tiger,0.9,2,5,250,1,39,-1.0,0.0,-1.48,7.430316278598106,7,13.159879647237972,8.806357162512622
tiger,0.9,2,5,250,1,40,2.8400000000000003,5.266345981798005,-1.0,0.0,7,16.129310454564468,8.503224366036413
tiger,0.9,2,5,250,1,41,-2.8000000000000003,7.493997598078078,2.6599999999999997,5.442830146164769,10,12.875405315771385,9.06309891158346
tiger,0.9,2,5,250,1,42,-3.22,7.4653600047151105,-1.0,0.0,7,15.028037184552867,8.52304069571441
tiger,0.9,2,5,250,1,43,-1.0,0.0,2.5400000000000005,5.554133595800519,8,12.069733550681608,9.411112411188753
tiger,0.9,2,5,250,1,44,2.8999999999999995,5.204805471869242,-2.68,7.497839688870388,7,16.65341821435992,8.511636727517844
tiger,0.9,2,5,250,1,45,-2.62,7.4990399385521345,-1.0,0.0,7,12.191423057913568,8.575278883309338
tiger,0.9,2,5,250,1,46,-1.0,0.0,-1.0,0.0,8,12.068678687681292,8.887244058904447
tiger,0.9,2,5,250,1,47,-8.02,5.077361519529608,-1.0,0.0,7,12.143005216097933,8.504243403187226
