experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
tiger,0.9,2,5,250,0,0,-1.0,0.0,-1.0,0.0,7,12.037271216027722,8.500668966924591
tiger,0.9,2,5,250,0,1,3.2,4.874423042781576,2.6599999999999997,5.442830146164769,7,17.753100050264237,8.590661375582702
tiger,0.9,2,5,250,0,2,-1.0,0.0,-1.0,0.0,7,12.107626999332158,8.500059212093582
tiger,0.9,2,5,250,0,3,2.96,5.141828468550853,2.9,5.204805471869242,8,15.455308411129275,9.527700098678364
tiger,0.9,2,5,250,0,4,-1.0,0.0,-1.9599999999999995,7.480534740244176,7,12.964642965117662,8.494608673621471
tiger,0.9,2,5,250,0,5,3.2,4.874423042781576,-3.04,7.480534740244176,8,14.659820064335353,8.951380892527254
tiger,0.9,2,5,250,0,6,-1.0,0.0,-3.5800000000000005,7.421832657773955,7,13.58660778060067,8.51171425813728
tiger,0.9,2,5,250,0,7,2.3600000000000003,5.712302512997714,-1.0,0.0,7,14.980060490189604,8.534022995830796
tiger,0.9,2,5,250,0,8,-1.0,0.0,3.08,5.011347124277064,8,12.324303917150448,9.26842733026524
tiger,0.9,2,5,250,0,9,1.88,6.088152429103594,-1.0,0.0,7,12.230079201942056,8.606699492902072
tiger,0.9,2,5,250,0,10,-1.0,0.0,3.9200000000000004,3.877318661136843,8,12.14252835945484,9.179672742330828
tiger,0.9,2,5,250,0,11,2.6599999999999997,5.442830146164769,-1.0,0.0,8,15.970857435100381,8.861353420265335
tiger,0.9,2,5,250,0,12,-1.0,0.0,2.96,5.141828468550853,7,12.169971209037296,8.573024241250142
tiger,0.9,2,5,250,0,13,3.7400000000000007,4.160817227420595,-2.56,7.499759996159876,7,15.486461820759267,8.551371139481333
tiger,0.9,2,5,250,0,14,-2.92,7.488230765674893,-1.0,0.0,7,12.09416907309589,8.622385759647432
tiger,0.9,2,5,250,0,15,-2.1400000000000006,7.491355017618642,3.74,4.160817227420594,8,12.702321714235815,9.073590778598799
tiger,0.9,2,5,250,0,16,-1.54,7.438306258819948,-2.1399999999999997,7.491355017618642,7,12.031081413388911,8.50046762688861
tiger,0.9,2,5,250,0,17,-2.56,7.499759996159876,-1.0,0.0,7,13.193057069696861,8.51225105920657
tiger,0.9,2,5,250,0,18,-2.68,7.497839688870388,3.3200000000000003,4.730496802662485,9,12.724361899170923,9.569025344427665
tiger,0.9,2,5,250,0,19,-1.0,0.0,-1.0,0.0,7,12.179677306576396,8.537188932357324
tiger,0.9,2,5,250,0,20,2.54,5.554133595800518,3.0199999999999996,5.077361519529608,8,17.77860877549288,8.797760620192694
tiger,0.9,2,5,250,0,21,-1.0,0.0,-1.0,0.0,7,12.569782153679306,8.494193921490915
tiger,0.9,2,5,250,0,22,3.38,4.655706176295922,2.5399999999999996,5.5541335958005185,10,15.043499882686149,9.225651886376077
tiger,0.9,2,5,250,0,23,-1.9599999999999995,7.480534740244176,-1.0,0.0,7,12.047877122088362,8.488060214509446
tiger,0.9,2,5,250,0,24,-1.0,0.0,3.26,4.803373814310104,9,12.291977843219083,9.221831608533403
tiger,0.9,2,5,250,0,25,2.1800000000000006,5.860682554105792,-3.8200000000000007,7.382926249123717,7,12.569023174459165,8.588592394924175
tiger,0.9,2,5,250,0,26,-1.0,0.0,-2.56,7.499759996159876,7,12.920049770406699,8.518858844303828
tiger,0.9,2,5,250,0,27,-1.0,0.0,-1.0599999999999996,7.360461942025108,7,12.144577658637575,8.513970983008736
tiger,0.9,2,5,250,0,28,4.279999999999999,3.2064934118129726,-1.0,0.0,7,13.010778328259253,8.79438164569834
tiger,0.9,2,5,250,0,29,-1.0,0.0,3.2,4.874423042781576,9,12.887204203231622,9.19325284259738
tiger,0.9,2,5,250,0,30,2.0600000000000005,5.954527689078287,-1.0,0.0,7,12.92462215534413,8.504855511244694
tiger,0.9,2,5,250,0,31,-2.26,7.496159016456361,-1.0,0.0,8,12.981130706369152,8.884521413512383
tiger,0.9,2,5,250,0,32,-2.0799999999999996,7.488230765674893,4.64,2.295735176365079,8,16.76496326372236,8.932758438036657
tiger,0.9,2,5,250,0,33,-2.56,7.499759996159876,-2.0799999999999996,7.488230765674893,7,12.124865742413622,8.599891078486493
tiger,0.9,2,5,250,0,34,-1.48,7.430316278598106,-1.9599999999999995,7.480534740244176,7,13.01463432349723,8.596779411402077
tiger,0.9,2,5,250,0,35,-1.6,7.445804187594514,-1.0,0.0,7,13.103837201057763,8.51282053051191
tiger,0.9,2,5,250,0,36,-1.0,0.0,2.1800000000000006,5.860682554105792,7,12.022832773958967,8.823500493660077
tiger,0.9,2,5,250,0,37,2.0,6.0,-1.8400000000000003,7.470903559811223,7,12.900028603848497,8.533624881892049
tiger,0.9,2,5,250,0,38,-1.0,0.0,-2.68,7.497839688870388,8,13.261987276739474,8.831318473905913
tiger,0.9,2,5,250,0,39,2.6,5.499090833947008,-3.3400000000000003,7.452811550012519,7,17.76746722444914,8.505368190722145
tiger,0.9,2,5,250,0,40,-2.26,7.496159016456361,-1.0,0.0,7,12.772386001942522,8.579640123817988
tiger,0.9,2,5,250,0,41,-1.9600000000000004,7.480534740244176,-1.0,0.0,7,12.030057157324382,8.55910910926466
tiger,0.9,2,5,250,0,42,-3.5200000000000005,7.430316278598105,4.52,2.64,9,12.933006757174073,9.104998976751748
tiger,0.9,2,5,250,0,43,-1.6600000000000001,7.452811550012519,-1.0,0.0,7,12.202677159637584,8.655049312167876
tiger,0.9,2,5,250,0,44,-1.0,0.0,2.72,5.385313361356051,8,12.096882414671285,8.76987729272859
tiger,0.9,2,5,250,0,45,-1.0,0.0,-1.0,0.0,7,12.107370984483268,8.609889812886351
tiger,0.9,2,5,250,0,46,4.52,2.64,-1.0,0.0,7,12.02338125901436,8.51298507421606
tiger,0.9,2,5,250,0,47,-1.0,0.0,-1.0,0.0,8,12.146314409022734,8.944546218180989
tiger,0.9,2,5,250,0,48,2.8400000000000003,5.266345981798005,2.72,5.385313361356051,9,13.160828194988076,9.266604725862074
tiger,0.9,2,5,250,0,49,-2.38,7.4990399385521345,-3.88,7.371946825635681,7,12.14542234946631,8.579568459923411
tiger,0.9,2,5,250,1,0,-1.2399999999999998,7.393402464359695,3.08,5.011347124277064,8,12.037527230876613,8.780617544716291
tiger,0.9,2,5,250,1,1,-1.0,0.0,-1.0,0.0,7,12.148939899576394,8.498719493071416
tiger,0.9,2,5,250,1,2,-1.0,0.0,3.3200000000000003,4.730496802662485,8,12.830277069601362,9.119537737302537
tiger,0.9,2,5,250,1,3,4.16,3.4488258871679793,-1.0,0.0,7,15.040625300520752,8.530022845108062
tiger,0.9,2,5,250,1,4,-1.0,0.0,-1.0,0.0,7,13.049133892013874,8.736741400468805
tiger,0.9,2,5,250,1,5,-1.0,0.0,4.94,0.94678403028357,8,12.241595996626032,8.833841636697372
tiger,0.9,2,5,250,1,6,4.52,2.64,-1.0,0.0,7,12.696421950405822,8.621479553143349
tiger,0.9,2,5,250,1,7,-2.1399999999999997,7.491355017618642,3.2,4.874423042781576,7,13.276067696320649,8.583590084855214
tiger,0.9,2,5,250,1,8,-1.0,0.0,-1.7800000000000002,7.4653600047151105,7,12.10649644432419,8.574598890172311
tiger,0.9,2,5,250,1,9,2.48,5.607994293863003,-2.5,7.5,7,16.311984956456286,8.646659060338477
tiger,0.9,2,5,250,1,10,-1.0,0.0,-3.3400000000000003,7.452811550012519,7,12.630878043068229,8.688408463474339
tiger,0.9,2,5,250,1,11,2.96,5.141828468550853,-1.0,0.0,7,12.02312524416547,8.51319215905552
tiger,0.9,2,5,250,1,12,-2.26,7.496159016456361,2.78,5.326499788791885,7,12.276631604550037,8.862168764153708
tiger,0.9,2,5,250,1,13,-1.0,0.0,-1.0,0.0,7,12.140996012840837,8.506381831248241
tiger,0.9,2,5,250,1,14,3.1399999999999997,4.943723293227484,-1.0,0.0,7,12.759739308716306,8.956577242593651
tiger,0.9,2,5,250,1,15,-1.0,0.0,4.58,2.474590875276154,8,12.771368852088706,9.619467656458177
tiger,0.9,2,5,250,1,16,1.7000000000000002,6.2136945531623935,-1.0,0.0,7,16.556885849136613,8.606824619636281
tiger,0.9,2,5,250,1,17,-2.1399999999999997,7.491355017618642,2.0600000000000005,5.954527689078287,9,12.588377696628918,9.278071883371231
tiger,0.9,2,5,250,1,18,-2.26,7.496159016456361,-1.0,0.0,7,12.299496573080525,8.496252718958102
tiger,0.9,2,5,250,1,19,-2.38,7.4990399385521345,2.3600000000000003,5.712302512997714,8,16.991385599040104,8.939583301045634
tiger,0.9,2,5,250,1,20,-3.22,7.4653600047151105,-2.1399999999999997,7.491355017618642,7,12.113266018422568,8.520260359188418
tiger,0.9,2,5,250,1,21,-1.0,0.0,-1.0,0.0,7,12.071889040852945,8.515511925529843
tiger,0.9,2,5,250,1,22,2.9,5.204805471869242,2.9,5.204805471869242,9,12.047644847919583,9.413909073927208
tiger,0.9,2,5,250,1,23,-2.8600000000000003,7.491355017618642,-1.0,0.0,7,12.105434894471705,8.493669048657262
