experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
robot,0.9,2,50,250,0,0,-1.0,0.0,-1.0,0.0,99,34.00045185079473,14.3750766438638
robot,0.9,2,50,250,0,1,5.904,8.325790292819056,-1.0,0.0,120,42.8479234165561,15.483796698353236
robot,0.9,2,50,250,0,2,-1.0,0.0,5.884,8.598519872629243,139,40.76817466044967,16.78861064384331
robot,0.9,2,50,250,0,3,2.092,7.198023061924712,-1.0,0.0,138,39.83599235707278,15.993184819759058
robot,0.9,2,50,250,0,4,-1.0,0.0,-1.0,0.0,123,29.758903322111856,16.734022185169643
robot,0.9,2,50,250,0,5,-1.0,0.0,7.239999999999999,8.67077851176006,139,48.68055785586708,17.298055386796122
robot,0.9,2,50,250,0,6,1.7040000000000002,6.553806832673663,-1.0,0.0,136,37.59259268797797,16.95682544152134
robot,0.9,2,50,250,0,7,-1.0,0.0,-1.0,0.0,112,35.50875480658587,18.134914861101525
robot,0.9,2,50,250,0,8,-1.0,0.0,7.0,9.0,126,43.3760383546295,17.303019228042224
robot,0.9,2,50,250,0,9,6.82,8.529220362964015,-1.0,0.0,136,43.03842744082228,17.058449410436026
robot,0.9,2,50,250,0,10,-1.0,0.0,-1.0,0.0,131,46.68691891498726,17.96980776583129
robot,0.9,2,50,250,0,11,-1.0,0.0,6.52,9.606747628620209,123,51.543357214396806,17.503157577442238
robot,0.9,2,50,250,0,12,7.12,8.837737266970546,-1.0,0.0,144,51.34588152188853,16.64652622918375
robot,0.9,2,50,250,0,13,-1.0,0.0,-1.0,0.0,125,42.226372590205685,16.702124623827558
robot,0.9,2,50,250,0,14,-1.0,0.0,-1.0,0.0,116,42.299380694340975,18.535706488765232
robot,0.9,2,50,250,0,15,7.24,8.67077851176006,6.76,9.311412352591844,119,51.63485745002552,17.212228400121067
robot,0.9,2,50,250,0,16,-1.0,0.0,-1.0,0.0,150,48.0125927471753,16.840829039414565
robot,0.9,2,50,250,0,17,-1.0,0.0,-1.0,0.0,114,46.45834787235899,17.81368224910908
robot,0.9,2,50,250,0,18,6.759999999999999,9.311412352591846,6.039999999999999,10.154723039059215,157,48.46700438815154,16.032414617549176
robot,0.9,2,50,250,0,19,-1.0,0.0,-1.0,0.0,148,49.9612267974837,16.977773855025763
robot,0.9,2,50,250,0,20,-1.0,0.0,-1.0,0.0,135,39.96695189726234,15.95605793122246
robot,0.9,2,50,250,0,21,7.0,9.0,-1.0,0.0,153,41.34482392533882,17.81371417995452
robot,0.9,2,50,250,0,22,-1.0,0.0,7.24,8.67077851176006,131,52.52457958189378,16.589859188059478
robot,0.9,2,50,250,0,23,-1.0,0.0,-1.0,0.0,141,45.2936103597369,17.414481795368978
robot,0.9,2,50,250,0,24,6.279999999999999,9.887446586454969,-1.0,0.0,155,45.44906776074546,15.890949664893018
robot,0.9,2,50,250,0,25,-1.0,0.0,7.000000000000001,9.0,153,44.39557177571894,16.778181927856807
robot,0.9,2,50,250,0,26,-1.0,0.0,-1.0,0.0,121,50.0766402119417,17.066294645768433
robot,0.9,2,50,250,0,27,7.12,8.837737266970546,-1.0,0.0,159,43.84737004882528,16.44583435135045
robot,0.9,2,50,250,0,28,-1.0,0.0,7.360000000000001,8.498846980620371,152,40.44909646081901,16.078515933894728
robot,0.9,2,50,250,0,29,-1.0,0.0,-1.0,0.0,158,47.3223498102879,16.412104376557387
