experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
tiger,0.9,2,5,250,0,0,-3.22,7.4653600047151105,-2.2,7.493997598078078,7,12.073409587997116,8.493777243069362
tiger,0.9,2,5,250,0,1,-2.98,7.484624239065044,-2.56,7.499759996159876,7,16.57870141510525,8.61009350614879
tiger,0.9,2,5,250,0,2,-1.0,0.0,-2.5,7.5,7,12.033902827900285,8.545152748608729
tiger,0.9,2,5,250,0,3,2.3600000000000003,5.712302512997714,-1.0,0.0,7,12.696215971699452,8.627486588772399
tiger,0.9,2,5,250,0,4,-1.0,0.0,2.8999999999999995,5.204805471869242,8,12.157713271802326,9.25023980611246
tiger,0.9,2,5,250,0,5,2.8999999999999995,5.204805471869242,-1.0,0.0,7,15.811250388492232,8.53387454345534
tiger,0.9,2,5,250,0,6,-0.7599999999999998,7.295368393713918,2.66,5.442830146164769,10,12.893683384795244,9.22646723026445
tiger,0.9,2,5,250,0,7,-1.0,0.0,-1.54,7.438306258819948,7,12.04995016195121,8.561015576982493
tiger,0.9,2,5,250,0,8,2.0,6.0,-2.26,7.496159016456361,7,16.97589420111745,8.527972645224263
tiger,0.9,2,5,250,0,9,-1.0,0.0,-3.0400000000000005,7.480534740244176,7,13.558285498073063,8.658978229070652
tiger,0.9,2,5,250,0,10,3.14,4.943723293227484,-1.0,0.0,7,17.793507639522506,8.57854483754069
tiger,0.9,2,5,250,0,11,-1.7200000000000002,7.459329728601626,2.42,5.660706669665899,8,12.512621221381906,8.944546218180989
tiger,0.9,2,5,250,0,12,-1.0,0.0,-1.0,0.0,7,12.14117735581766,8.727148675216645
tiger,0.9,2,5,250,0,13,2.72,5.385313361356051,1.9400000000000004,6.044534721548053,10,17.77860877549288,9.139764821458623
tiger,0.9,2,5,250,0,14,-1.7800000000000002,7.4653600047151105,-1.0,0.0,7,12.073577709818183,8.490779807124694
tiger,0.9,2,5,250,0,15,-1.0,0.0,3.3200000000000003,4.730496802662485,8,13.211080220688398,9.277732267794384
tiger,0.9,2,5,250,0,16,-1.0,0.0,-2.0200000000000005,7.484624239065044,7,13.182131544049136,8.498010535518798
tiger,0.9,2,5,250,0,17,4.76,1.8821264569629743,-1.6600000000000006,7.452811550012519,8,17.50313311055171,8.923846659535057
tiger,0.9,2,5,250,0,18,-2.2,7.493997598078078,-2.14,7.491355017618642,7,17.517447204235026,8.493165135011894
tiger,0.9,2,5,250,0,19,-2.56,7.499759996159876,-1.0,0.0,7,12.166234126595713,8.498501934110623
tiger,0.9,2,5,250,0,20,-1.0,0.0,2.8400000000000003,5.266345981798005,7,12.961361348437162,8.569612347439763
tiger,0.9,2,5,250,0,21,2.0,6.0,-2.32,7.497839688870388,8,15.441699981933876,8.78408719221008
tiger,0.9,2,5,250,0,22,-1.0,0.0,-1.5400000000000005,7.438306258819948,7,12.083691667705963,8.505171334902542
tiger,0.9,2,5,250,0,23,3.3200000000000003,4.730496802662485,-3.04,7.480534740244176,7,14.812314615454984,8.609278618967503
tiger,0.9,2,5,250,0,24,-1.0,0.0,-1.0,0.0,7,12.9187687124396,8.550209254252199
tiger,0.9,2,5,250,0,25,2.5400000000000005,5.554133595800519,2.54,5.554133595800519,8,13.099855618892054,9.447356486935329
tiger,0.9,2,5,250,0,26,-2.14,7.491355017618642,-1.0,0.0,7,12.062331637140376,8.499184542219972
tiger,0.9,2,5,250,0,27,-1.36,7.41285370151064,3.74,4.160817227420594,8,12.107109277702587,8.751862005719156
tiger,0.9,2,5,250,0,28,-1.0,0.0,-1.0,0.0,7,12.236447975451773,8.493027489822122
tiger,0.9,2,5,250,0,29,2.42,5.660706669665899,2.9,5.204805471869242,7,13.287509630397423,8.848698491437732
tiger,0.9,2,5,250,0,30,-3.0400000000000005,7.480534740244176,-1.0,0.0,7,12.019474710493604,8.65886959001055
tiger,0.9,2,5,250,0,31,-1.0,0.0,2.3600000000000003,5.712302512997714,7,12.0918050230892,8.596930967047829
tiger,0.9,2,5,250,0,32,2.4800000000000004,5.607994293863003,-1.0,0.0,7,12.88181100543969,8.545079742011993
tiger,0.9,2,5,250,0,33,-1.0,0.0,2.48,5.607994293863003,9,12.908928393431932,9.251874615135533
tiger,0.9,2,5,250,0,34,2.42,5.660706669665899,-1.0,0.0,7,20.033292822618364,8.523374147457334
tiger,0.9,2,5,250,0,35,-2.74,7.496159016456361,-1.0,0.0,8,12.843467407524436,8.67272841184287
tiger,0.9,2,5,250,0,36,-2.5,7.5,3.86,3.974971698012452,9,12.135143814459187,9.312684657810609
tiger,0.9,2,5,250,0,37,-3.5200000000000005,7.430316278598105,-1.0,0.0,7,12.134819197638077,8.572611308561022
tiger,0.9,2,5,250,0,38,-3.94,7.360461942025107,3.5,4.5,8,12.05079031634403,9.170557270566784
tiger,0.9,2,5,250,0,39,-3.0400000000000005,7.480534740244176,-1.0,0.0,7,12.196691823820927,8.486087623995925
tiger,0.9,2,5,250,0,40,-1.0,0.0,2.72,5.385313361356051,8,12.703349243585675,9.527225135983729
tiger,0.9,2,5,250,0,41,-8.200000000000001,4.874423042781576,-1.0,0.0,7,12.309905380850884,8.533732570433784
tiger,0.9,2,5,250,0,42,-3.3400000000000003,7.452811550012519,3.08,5.011347124277064,7,12.18290505849891,8.505707806298991
tiger,0.9,2,5,250,0,43,-3.16,7.470903559811223,-1.0,0.0,7,12.78965610715836,8.517446152294024
tiger,0.9,2,5,250,0,44,-1.0,0.0,-1.0,0.0,7,12.846294416807194,8.531887333777343
tiger,0.9,2,5,250,0,45,2.0600000000000005,5.954527689078287,4.46,2.794351445326805,8,17.48860383852735,9.459194604091431
tiger,0.9,2,5,250,0,46,-1.0,0.0,-1.0,0.0,7,12.15098919875913,8.494663220262312
tiger,0.9,2,5,250,0,47,4.1,3.562302626111375,2.8400000000000003,5.266345981798005,7,14.782453873447572,8.60390070663228
tiger,0.9,2,5,250,0,48,-2.44,7.499759996159876,-1.0,0.0,7,12.570275532636886,8.527427506656585
tiger,0.9,2,5,250,0,49,-2.74,7.496159016456361,2.420000000000001,5.6607066696659,9,12.21472564144215,9.24860866090418
tiger,0.9,2,5,250,1,0,-1.0,0.0,-1.0,0.0,7,12.050003110017869,8.51430195254523
tiger,0.9,2,5,250,1,1,2.72,5.385313361356051,3.2,4.874423042781576,8,13.19015913812406,8.73069737471732
tiger,0.9,2,5,250,1,2,-2.2,7.493997598078078,-2.98,7.484624239065044,7,13.440071036346026,8.490927967259562
tiger,0.9,2,5,250,1,3,-2.8000000000000003,7.493997598078078,-2.8600000000000003,7.491355017618642,8,12.764457338716811,8.656727057195077
tiger,0.9,2,5,250,1,4,-1.0,0.0,-1.0,0.0,7,12.92825484826832,8.518106081382241
tiger,0.9,2,5,250,1,5,2.3600000000000003,5.712302512997714,2.8400000000000003,5.266345981798005,7,20.471523799905,8.90661842089946
tiger,0.9,2,5,250,1,6,-1.0,0.0,-2.92,7.488230765674893,7,12.074389348356616,8.500633383549019
tiger,0.9,2,5,250,1,7,3.08,5.011347124277064,-1.0,0.0,8,15.32585357158142,8.945316416269282
tiger,0.9,2,5,250,1,8,-1.4200000000000004,7.421832657773955,3.2,4.874423042781576,9,12.24548090262925,9.24860866090418
tiger,0.9,2,5,250,1,9,-1.0,0.0,-1.0,0.0,7,12.378208779462346,8.533898489972337
tiger,0.9,2,5,250,1,10,2.24,5.81226289838992,-1.0,0.0,7,13.49113657998385,8.59347646704829
tiger,0.9,2,5,250,1,11,-1.54,7.438306258819948,4.7,2.1,9,14.038038296910756,9.523001833420146
tiger,0.9,2,5,250,1,12,-1.0,0.0,-1.0,0.0,7,12.017413575209469,8.592552648092335
