experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
tiger,0.9,2,5,250,0,0,-1.7200000000000002,7.459329728601626,-2.8600000000000003,7.491355017618642,7,12.007666488869202,8.52106314699339
tiger,0.9,2,5,250,0,1,-1.0,0.0,-1.1800000000000002,7.3829262491237175,7,12.044617148174616,8.495217543873636
tiger,0.9,2,5,250,0,2,-1.0,0.0,-3.88,7.371946825635681,7,12.059003287470041,8.606147623712815
tiger,0.9,2,5,250,0,3,-5.079999999999998,7.042272360538181,-1.0,0.0,7,17.022607123002192,8.495793154416912
tiger,0.9,2,5,250,0,4,-1.0,0.0,2.12,5.908096140043763,8,13.30921900372136,8.79509197592044
tiger,0.9,2,5,250,0,0,-1.0,0.0,-1.0,0.0,7,12.006124686162522,8.494891779070517
tiger,0.9,2,5,250,0,1,-1.0,0.0,2.78,5.326499788791885,7,12.651461218426443,8.866202849089515
tiger,0.9,2,5,250,0,2,-3.2200000000000006,7.4653600047151105,-2.56,7.499759996159876,7,12.213586517329013,8.521663656838374
tiger,0.9,2,5,250,0,3,-1.0,0.0,-2.86,7.491355017618642,7,12.169782232501609,8.53094756379205
tiger,0.9,2,5,250,0,4,-1.0,0.0,-1.0,0.0,7,12.147623787300812,8.502966724901292
tiger,0.9,2,5,250,0,0,-3.4000000000000004,7.445804187594514,-1.0,0.0,7,12.06127471930209,8.485340774049487
tiger,0.9,2,5,250,0,1,-1.0,0.0,2.6,5.499090833947008,8,12.034901740322955,9.527433414478077
tiger,0.9,2,5,250,0,2,-8.26,4.803373814310104,-1.0,0.0,7,12.085596826871058,8.512500690081366
tiger,0.9,2,5,250,0,3,-1.54,7.438306258819948,2.4800000000000004,5.607994293863003,7,16.34603425760744,8.634136966615861
tiger,0.9,2,5,250,0,4,-3.2800000000000002,7.4593297286016265,-1.9600000000000004,7.480534740244176,7,12.210937703646234,8.846046479350244
tiger,0.9,2,5,250,0,0,-1.0,0.0,-1.0,0.0,7,12.104065911889283,8.495421237136075
tiger,0.9,2,5,250,0,1,-1.0,0.0,3.74,4.160817227420594,8,12.098502981312793,9.3090745027705
tiger,0.9,2,5,250,0,2,-2.32,7.497839688870388,-1.0,0.0,7,16.144778111807017,8.490506703606101
tiger,0.9,2,5,250,0,3,-1.0,0.0,1.7599999999999998,6.172714151813609,7,12.117905071377724,8.892268448789732
tiger,0.9,2,5,250,0,4,1.88,6.088152429103594,-1.0,0.0,7,17.209315871539374,8.495503887127985
tiger,0.9,2,5,250,0,0,-1.0,0.0,-1.0,0.0,7,12.078145764108248,8.491118811663569
tiger,0.9,2,5,250,0,1,-1.0,0.0,-1.0,0.0,7,12.664492843974768,9.057286384173203
tiger,0.9,2,5,250,0,2,4.88,1.3362634470792052,-1.0,0.0,7,17.478325766481785,8.495503887127985
tiger,0.9,2,5,250,0,3,-2.68,7.497839688870388,2.6599999999999997,5.442830146164769,7,13.055189988710545,8.50692635877795
tiger,0.9,2,5,250,0,4,-1.0,0.0,-3.82,7.3829262491237175,7,12.16693371687466,8.585909953672878
tiger,0.9,2,5,250,0,5,-1.0,0.0,-3.5199999999999996,7.430316278598105,8,12.887196967282943,9.449193155134441
tiger,0.9,2,5,250,0,6,4.64,2.295735176365079,-2.9200000000000004,7.488230765674893,7,15.6099207386659,8.540317546818734
tiger,0.9,2,5,250,0,7,-1.8400000000000003,7.470903559811223,-2.26,7.496159016456361,7,17.209315871539374,8.510950329883062
tiger,0.9,2,5,250,0,8,-1.0,0.0,-1.0,0.0,7,12.122446121874264,8.518781906271489
tiger,0.9,2,5,250,0,9,2.420000000000001,5.6607066696659,-1.0,0.0,7,15.606574579779245,8.824944032269652
tiger,0.9,2,5,250,0,10,-3.1600000000000006,7.470903559811222,-2.1999999999999997,7.493997598078078,7,12.858877802884386,8.55245596177771
tiger,0.9,2,5,250,0,11,-1.0,0.0,-2.86,7.491355017618642,7,12.287451845494882,8.499379790519615
tiger,0.9,2,5,250,0,12,-1.0,0.0,-3.3400000000000003,7.452811550012519,7,12.897238035269039,8.51366145782692
tiger,0.9,2,5,250,0,13,4.819999999999999,1.6332789106579442,-1.0,0.0,7,17.00301158910969,8.51529626684999
tiger,0.9,2,5,250,0,14,-3.4000000000000004,7.445804187594514,3.0199999999999996,5.077361519529608,7,12.187266764277634,8.550759945562485
tiger,0.9,2,5,250,0,15,-1.0,0.0,-1.0,0.0,7,12.324678201774528,8.62854261604565
tiger,0.9,2,5,250,0,16,2.12,5.908096140043763,2.3600000000000003,5.712302512997714,8,13.278373010352276,9.26558568871126
tiger,0.9,2,5,250,0,17,-2.68,7.497839688870388,-1.0,0.0,7,12.021037914005129,8.56185019066236
tiger,0.9,2,5,250,0,18,-2.38,7.4990399385521345,2.72,5.385313361356051,7,12.934195742268951,8.63844561049336
tiger,0.9,2,5,250,0,19,-3.16,7.470903559811223,-1.0,0.0,7,12.741115108606795,8.509749033229436
